,Universe,Superhero,identity,backstory,powers
0,Marvel Comics,A-Bomb,Richard Milhouse Jones," Richard ""Rick"" Jones was orphaned at a young age, and after being expelled from several orphanages for disciplinary reasons he was placed into a state institution called Tempest Town. A troubled and rebellious youth, Jones soon came to the attention of the institution's chief administrator who smashed his guitar, a gift from his late father, and then had him severely thrashed. Soon afterward, Jones ran away from the institution. He spent the first half of his teens drifting from town to town throughout the Southwest, trying to avoid the juvenile authorities, and doing menial work when he could get it.  At age 16, he got his driver's license and managed to save enough money to buy a used car. Overhearing a teenager dare a friend to ride out with him on the desert where it was rumored an atomic bomb was going to be tested, Jones offered to take him upon the challenge. He drove his car out to the test site to discover his challenger was too timid to show up. Dr. Robert Bruce Banner, designer of the Gamma Bomb to be tested, learned that someone had ventured onto the test site, and believing the countdown had been delayed, ran out into the desert to warn him back. Banner managed to throw Jones into a protective trench before the bomb detonated, but he himself was bombarded with gamma radiation. This radiation triggered a mutagenic change in Banner, causing him to turn into the raging superhuman Hulk. Feeling responsible for Banner's condition and being the only person to know that the rampaging brute was actually Banner, Jones became the Hulk's sometimes unwanted companion and ally. Jones soon organized the Teen Brigade, a group of young amateur ham radio enthusiasts to help him monitor the Hulk's activities. Jones was present during the Hulk's first encounters with the army, as well as superhuman menaces as the Gargoyle, the alien Toadmen, the Ringmaster, Tyrannus, and the Metal Master, and even a run-in with the Fantastic Four.  The Avengers formed due to Rick's radio broadcast warning about the Hulk. He temporarily became a sidekick for Captain America. His resemblance to Bucky was noted, Rick even wore Bucky's costume for a time. However, Captain America felt he did not want to lose another partner and that while Rick was a good athlete, he was not quite up to the level Bucky was. When Iron Man suggested that Rick be made a full member of the Avengers, Cap strongly opposed the idea.  The Kree hero Captain Mar-Vell was bonded to Rick due to only being able to function out of the Negative Zone for a few hours. Using the Negative Zone portal in the Baxter Building seemed to remove that limitation. Shortly after Rick and Mar-Vell had to be re-merged. Eventually, they were separated.  During the Kree-Skrull War, an 'omniwave' machine from the Supreme Intelligence caused the Destiny Force to trigger within Rick.  An attempt to cure the Hulk instead gave Rick radiation poisoning. In the hospital, the Dire Wraiths began to replace the staff, but were stopped by Rom. Rick assisted Rom against the Wraiths, and temporarily lived with Brandy Clark. Jones was cured by the Beyonder at the same time Rom and Brandy left for Galador.  Rick began dating Marlo Chandler, a former girlfriend of the Hulk's. The two later married with a great number of heroes in attendance. The Impossible Man did his best to usurp the proceedings by inviting the Kree, Skrulls, even Mephisto to the ceremony. After a period of estrangement that also involved Moondragon and Death becoming involved with Marlo, the two reunited.  Jones was temporarily paralyzed while Hulk was the Horseman War. In an attempt to stop this 'War Hulk' he was thrown against a pyramid. Rick was cured during the Destiny War, summoning Avengers from various realities to battle for their very existence against the Time Keepers. The strain was incredible, and a future version of Genis-Vell bonded to him, much like Rick had with Mar-Vell. Rick and Genis later discovered this bond still applied to the current Genis.  Rick authored a best-selling novel on his days as a sidekick.  When the Hulk returned to Earth, Jones attempted to calm him down by telling him about Captain America's death, but when the Hulk almost calmed down, Dr. Strange invaded the Hulk's mind. Rick later went to Strange's Sanctum Sanctorum, but was attacked by the Hulk's allies.   Later, Rick was transported to the gamma bomb site that gave birth to the original Hulk. After being dropped off, he encountered the Red Hulk. After seeing that he had murdered Emil Blonsky, the Abomination, Rick had transformed into a new blue creature who quite resembled the Abomination; calling himself A-Bomb. In his new form, he was much like the original Hulk incarnation whereas he could not remember being anybody else once the transformation was complete, had an easily flared temper, and simplified speech patterns. He held his own against the Red Hulk for an extended period of time, withstanding all of his blows and injuring him multiple times which so far nobody had been able to accomplish. The battle was interrupted by several giant android harpies that were specifically designed by United States Military in case Bruce Banner escaped the facility as the Hulk. A-Bomb has proven to hold onto fragments of his memories as Rick Jones because he recognized the harpies all had the face of Betty Ross; Bruce Banner's first love. A-Bomb managed to disable one mid-flight, and they both crashed to earth.The robot exploded.  A-Bomb joined with several heroes including the Avengers, the Fantastic Four, She-Hulk and the Hulk to help stop an impending earthquake in San Francisco which was caused by Red Hulk. After the Red Hulk was defeated, A-Bomb reverted back to Rick. He attempted to reveal who Red Hulk really was, but was shot and dragged away by Doc Samson from the area.","  On rare occasions, and through unusual circumstances, Jones has been able to tap into a mysterious, near-limitless energy sources known as the Destiny Force. The Destiny force is believed to be inherent in all humanity. Jones has used this power to alter reality in the past by bringing figures from his own imagination to life or even figures from different times of existence. He has proven able to render thousands of Kree and Skrull warriors immobile with a thought, single-handedly overcome the Atlantean army, augment all of his own physical attributes, heal himself after sustaining life threatening energies and levitate. The full limits of the Destiny Force, its overall nature, why only Jones has been able to harness it at only certain times is unknown.   After being exposed to a weapon powered by gamma radiation designed for use against the Hulk, Jones was mutated by the radiation. As a result, Jones can transform into a superhuman form that resembles the Abomination. Jones has demonstrated the ability to transform at will and, when doing so, gains an additional 4 feet 3 inches in height and 1,835 pounds of muscle, bone and connective tissue to his frame. Jones' skin takes on a scaly sort of appearance, his eyes change color and his hair disappears.   While transformed into A-Bomb, Jones' musculature, connective tissues and skeletal structure are augmented to levels far beyond those of ordinary humans. As a result, his strength is augmented to great superhuman levels. At his peak, he possesses sufficient superhuman strength to lift roughly 100 tons of weight.   For all intents and purposes A-Bomb does not age. Due to his great healing factor that regenerates his cells, and with the gamma energy and Destiny force that empowers him, A-Bomb does not age at all.   Jones' musculature as A-Bomb is more efficient than that of an ordinary human. As a result, his muscles produce less fatigue toxins during physical activity than those of normal humans. Though the exact limit of his stamina isn't known, he can at least exert himself for several hours without fatigue impairing his overall capabilities.   As A-Bomb, Jones' superhuman body is much tougher and more resistant to injury than that of an ordinary human. Since Jones' ability to transform into his superhuman form is a recent development, the full limits of his resistance to injury isn't known. However, his hide is exceptionally tough and can withstand repeated blows by a foe as physically powerful as the Red Hulk without sustaining injury. His body can also withstand falls from great heights and exposure to temperature extremes without being damaged. He has also demonstrated that his hide is bulletproof as Red Hulk tried to use a mini-gun from on him but it merely tickles A-Bomb.   A-Bomb does not need air, water, food, or sleep to survive.   He also has a camouflage ability, being able to turn nearly invisible to match his environment."
1,Marvel Comics,Abomination,Emil Blonsky,"Formerly known as Emil Blonsky, a spy of Soviet Yugoslavian origin working for the KGB, the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into The Incredible Hulk. As a result he was permanently transformed into a massive green-skinned monster whose physical power was equivalent to, if not greater than, that of the Hulk. While he was able to maintain his normal level of self-control and intelligence after this transformation, he is unable to return to human form.Given his gamma-spawned origins, Blonsky blames his condition on Banner and his alter ego, the Hulk. The Abomination and the Hulk have clashed on numerous occasions, with Blonsky perpetually playing the role of the aggressor. Although Blonsky occasionally gains the upper hand in their battles, the Hulk manages to triumph in the end. But not always; the Abomination is one of the few who can lay claim to victory over the green-skinned goliath.In recent years, it was revealed that his hideous new visage had served to alienate Blonsky from his ex-wife, Nadia. Coupled with constant defeats at the hands of the Hulk, this has driven Blonsky nearly insane in his hatred for Banner. The Abomination also grew incensed upon learning that Banner had married Betty Ross, the daughter of General Thunderbolt Ross. With the loss of his wife, Blonsky figured it is only fair to him that Banner should lose Betty. Out of jealousy, he caused the apparent death of Bruce Banner''s wife Betty. While she was recovering from radiation sickness caused by exposure to the gamma radiation within Banner, he poisoned her with his radioactive blood, causing Banner and his associates to believe that her close proximity to the Hulk had given her a fatal case of radiation poisoning. Banner later exposed the Abomination''s role in Betty's seeming death, and defeated him in combat.Not only had his grand scheme failed, but Banner also forgave Blonsky. The Abomination could not comprehend and endure his enemy''s absolution, and his moment of triumph was twisted into crushing defeat. Blonsky realized he had become what he abhorred the most - it was he who was the rampaging, inhuman monster; not the Hulk as he had religiously believed all these years.Months later, the still-grieving General Ross manipulated the Hulk into attacking and almost killing Blonsky. The Abomination was taken into custody by the military; as punishment, he was forced to watch a film loop of himself and his wife prior to his transformation, making his incarceration a constant reminder of what he has lost.","'Blonsky''s transformation into the Abomination substantially increased his strength and durability. Like the Hulk, the Abomination can use his superhumanly strong leg muscles to leap great distances, covering miles in a single bound. The Abomination has vast physical strength.Unlike the Hulk, the Abomination''s transformation has proved stable: he cannot change back and forth between his human state and his superhuman state, despite his wishes to the contrary. Though the Abomination has proven able to regenerate lost eyes and recover from other forms of massive cellular damage, his ability to regenerate tissue is much slower than that of the Hulk. One possible explanation for this is that the Hulk''s remarkable regenerative abilities increases in efficiency as he becomes enraged, much like his strength. The Abomination is resistant to extremes of temperature, and can hold his breath for extended periods of time; in the case of lack of air or heat, he may enter a coma-like state of suspended animation."
2,Marvel Comics,Abraxas,Abraxas,"Born within the abstract entity Eternity, Abraxas was kept in check throughout the Multiverse by the existence of Galactus. With the death of Galactus on Earth-616, Abraxas was free to roam the dimensions, killing every version of Galactus he found. Abraxas sent a decapitated Galactus skull stored with an alternate earth Nova hurtling towards Earth. While Abraxas drew nearer, the walls of dimensional space began to blur, rendering Uatu The Watcher comatose and causing a group of other-dimensional super humans called the Law Enforcement Squad to enter Earth-616 and battle the Fantastic Four. Joining a group of cosmic heroes, the Fantastic Four battled a cadre of Abraxas' followers on the moon; the Silver Surfer was killed. Realizing the danger Abraxas posed, the Fantastic Four went on a dimension-hopping journey to recover the Ultimate Nullifier, the one weapon that could destroy him. The Invisible Woman found herself on Earth-1116 (Atlanterra), a world ruled by Atlantis; Mister Fantastic on Earth-11113, a world resembling the 1930s where he teamed with the heroic Five for the Future; and the Thing on Earth-111, where he met the Challengers of Doom before their world was devoured by Galactus.  While the Fantastic Four were away, Abraxas stalked Franklin Richards, who had foreseen his arrival in dreams. Franklin and his sister, Valeria, were teleported away by Roma. During this time, Abraxas encountered Namorita and transformed her into a Kymaera Atlantean state, making her unable to breathe oxygen and effectively killing her. Having each learned a portion of the location of the Nullifier from alternate world Johnny Storms, the Fantastic Four enabled the Earth-616 Human Torch to remember the location of the Nullifier. Nova then turned on the Torch, stealing the Nullifier for Abraxas, her true master. Abraxas then appeared to Roma and appeared to kill her.  Teleporting Valeria, Franklin, Roma's aide Saturnyne, and himself to the location of the Fantastic Four, Abraxas received the Nullifier from Nova. She revealed that in her dimension, Galactus took her as his herald-but still consumed the Earth. Nova was joined by a small army of her alternate selves to protect Abraxas from the Earth's heroes. Franklin and Valeria combined their powers to resurrect the Earth-616 Galactus, who easily retrieved the Nullifier and handed it to Reed Richards. Reed nullified the universe itself. The universe restored itself to its previous normality, with Abraxas nowhere to be found. The Silver Surfer and Namorita were returned to life.","As antithesis to the cosmic entity Eternity, Abraxas is a powerful intelligence representing the embodiment of the destruction of the universe, and as such is far removed from the limits of human understanding. Presumably, Abraxas' humanoid form is a manifestation used to communicate, or is merely the perception of the individual witnessing his presence. His powers are limitless, and he can manipulate the fabric of reality to accomplish his ends."
3,Marvel Comics,Absorbing Man (MCU),Carl Creel,"Carl ""Crusher"" Creel was an enhanced individual with the ability to absorb the properties of anything he touches. Originally a boxer, Creel appeared on S.H.I.E.L.D.'s radar and had been deemed too dangerous, so John Garrett was sent to kill him. Garrett, who was secretly working for HYDRA, faked Creel's death and recruited him into HYDRA. Creel worked for Daniel Whitehall and was ordered to steal the Obelisk, but Creel was stopped by Phil Coulson's team and handed over to Glenn Talbot for custody. Having recovered from the effects of the Obelisk, Creel then underwent months of treatment to be rid of HYDRA's brainwashing. When Brigadier General Glenn Talbot had been made the leader of the ATCU, he had commissioned Creel as his personal bodyguard during the meeting to discuss the Inhumans and the threat they posed. Although S.H.I.E.L.D. had doubts about Creel, he proved himself to be trustworthy. Following Talbot's incapacitation due to an attempt on his life, Creel was recruited by General Hale, one of the last remaining HYDRA leaders, to join a team with the goal of capturing the members of S.H.I.E.L.D., which had been framed for the attack on Talbot. Upon learning from Coulson that Talbot was being held prisoner, Creel then helped them both escape. However, while still suffering from the effects of being exposed to Gravitonium by Hale, Creel was betrayed by Talbot, who had become empowered by the element and gone mad with the power. Talbot helped Creel absorb the properties of Gravitonium, transforming him into the element, then consumed Creel to gain more Gravitonium for himself."," Carl Creel was able to duplicate at will the physical properties of anything he touched or that touched him, with the power having been given to Creel from the Project Destroyer of Worlds, which was designed by Daniel Whitehall. Certain items, such as flawless diamonds, were enjoyable for Creel to absorb, causing a euphoric effect in him. Creel usually used his powers to increase his own strength and durability, but he also used them sometimes to blend into his surroundings or to isolate himself from some harmful effects, such as electricity when he was attacked by Lincoln Campbell.  Creel was able to phase through a metal door, by becoming the same material that the door was made from, and then opening the lock from the inside.   In addition to his powers which greatly helped him while fighting, Creel was a proficient combatant, as he regularly practiced during boxing sessions. His combat skills enabled him to fight on par with the highly skilled assassin Ruby Hale when he tried to escape from the HYDRA Preparatory Academy having nearly defeated her before reinforcements arrived to hold him at gunpoint."
4,Marvel Comics,Absorbing Man,Carl Creel,"  Before he turned to crime, Creel fought as a boxer, at one point facing ""Battling Jack"" Murdock in the ring. His ringname, ""Rocky Davis"", was ""kind of a shout out"" to his cousin of the same name.  While serving time in prison for aggravated assault committed while a member of an extortion racket, Carl ""Crusher"" Creel was selected by Loki, the Asgardian God of Mischief, as his unwitting agent in a scheme against Thor, God of Thunder. By adding an enchanted potion composed of rare Asgardian herbs to Creel's drinking water in the prison commissary, Loki granted the brutal convict a bizarre power he hoped would enable him to defeat Thor, the power to absorb the physical properties of anything with which he came in contact. Creel used his new-found power to break free from prison and soon became engaged in battle with Thor. Due to his ability to absorb the properties of Thor's hammer and Thor himself, Creel, now called the Absorbing Man, became one of the strongest mortal foes Thor ever combated. Thor was forced to concede the fight when Creel kidnapped Jane Foster. Creel then ransacked a house and attacked the residents, at which point Thor and him had a rematch. He was defeated when Thor tricked him by hitting the ground with Mjolnir and turning it (and Creel) to Helium, causing him to float harmlessly into the atmosphere.  He was restored and returned to Earth by Loki using Asgardian tech and battled Thor again following the knock out of an Asgardian warlock. Loki transported him to Asgard where the criminal could be used in his scheme to take over Asgard. But when the Absorbing Man dared to challenge Odin, lord of the Asgardians, Odin summarily dispatched him into space. Creel eventually managed to return to Earth by hitching a ride on a comet. He soon encountered the Hulk (Bruce Banner); however, and was defeated while in the process of absorbing the Hulk's power during his transformation to the human Bruce Banner. The Absorbing Man then challenged Thor again and was defeated when he was tricked into turning into water. A short time later, Thor defeated him again by tricking him into absorbing the properties of a cardboard replica of Thor's hammer. Serving a short prison sentence, Creel managed to escape and was contacted by They Who Wield Power, a cabal of power seekers from El Dorado, who hired him to destroy the Hulk. He failed and inadvertently absorbed the properties of glass while falling.  Eventually reassembling the shards of his body, the Absorbing Man decided that he was tired of fighting against and losing to superhuman champions. Seeking to flee the country, Creel foolishly took a hostage, thereby bringing the Avengers after him. To escape them, he jumped into the ocean and transformed himself into water. When he finally regained his natural form, his mind was addled from his prolonged intermingling with the ocean and he was frightened of anyone with superhuman power. A chance battle with the Hulk cured him of his paranoia, however. Returning to America, he stalked the mutant Dazzler (Alison Blaire) to acquire her light-powers to use against the Avengers. He was defeated, however, by the Dazzler and the Inhuman Black Bolt.  Creel was abducted from prison by the omnipotent being known as the Beyonder to fight the so-called Secret Wars, after which he returned to Earth. During this time, Creel met the villainous Titania (Mary MacPherran), and the two developed a romantic relationship. Upon their return, Creel and Titania were contacted by Baron Zemo (Helmut Zemo), who was forming a new team called the Masters of Evil. After several independent assignments, they were defeated by Ant-Man (Scott Lang) and the Wasp.  Creel continued to engage in various criminal activities, most often partnered with Titania, although the two often ran afoul of one superhero or another, including his arch-enemy Thor.  After several months, Titania and Creel got married. Both villains had turned away from more malicious actions, preferring to quietly keep each other company. Creel and Titania occasionally came into conflict with superheroes, such as when the Black Widow (Natasha Romanoff) was on a vendetta to dispose of all of the Avenger's foes. Another time, Creel was duped by the villain Crossbones to keep Captain America (Steve Rogers) busy while Crossbones ignited a bomb. Creel, however, claiming not to be a murderer, absorbed the properties of Captain America's Shield and saved the city from the explosion. Creel escaped to seek revenge on Crossbones.  The Absorbing Man eventually became very highly addicted to narcotics, especially pain killers and cocaine. When he was in need of a high he demonstrates no concern for the safety of others and will work for whatever criminal can supply him with narcotics. Once, he was tricked into transforming into cocaine and minions operating powerful industrial fans scattered his body in the room he was occupying. His body mass was then collected off of all the surfaces and placed into several plastic bags. This all was the doing of the Owl who sold this ""Creel cocaine"". After being used as a drug all over New York, all those who used the drug transformed into whatever they came in contact with, just like Creel but not with his level of control which resulted in several injury's and deaths. Eventually, Creel managed to reform himself, but was defeated by Spider-Man (Peter Parker) and the Avengers.  Creel was taken by Project Pegasus to bond him with a fragment of the Cosmic Cube in order to shift reality; Loki gave Norman Osborn a chance to show up when Hank Pym and his Avengers cut the power, disabling Creel's thought scrambler; the following incident allowed Creel to become all-powerful and deal 'Reality Punches' that caused Vision to split into Iron Lad and the original Vision, also causing the Sentry and the Void to become separate entities. Loki gave Osborn a spell breaker that he used, which apparently left Creel powerless.   When Skadi freed the Serpent, he called the Hammers of the Worthy to Earth. One of these hammers transformed the Absorbing Man into Greithoth, Breaker of Wills.  After the final battle where Thor killed the Serpent, Absorbing Man's hammer is taken from him as well as the hammers of the other Worhty. He was latter seen attacking the Museum of Natual History in the search of a Moon rock, believing that would give him Moon powers, but he was defeated by Steve Rogers and the new Captain Marvel. He recently broke out of jail only to be caught by Spider-Man and Iron Man.","   The Absorbing Man possesses the ability to bodily duplicate at will the physical properties of anything he touches or that touches him. This power extends to both animate and inanimate objects and certain forms of energy. The matter of the Absorbing Man's body magically a material and physiological change so that his body actually becomes composed of the matter or energy with which he is making contact. While he is in this altered state, he still possesses his sentience despite the fact that his brain is now composed of the same material as the rest of him. Among the more ordinary materials he has been transformed into include steel, stone, wood and glass. More unusual have been his transformations into water, fire, snow and silk. His most powerful transformations have been into energy-states such as cosmic, nuclear, thermal or light.   The Absorbing Man has learned through practice to only absorb the properties of objects that he wishes to absorb. Originally he could be tricked into absorbing the properties of objects that would render him relatively vulnerable. There appears to be no time limit to how long he can retain a given property. When he is rendered unconscious or in a coma, he retains the form which he last consciously assumed. There would also not appear to be a minimum amount of time he must retain one form before assuming another. He can even become more than one substance at once.   The Absorbing Man can also absorb specific properties relating to the form or mass of an object he touches. For example he can assume the height of a skyscraper or the spikes of a mace. He can also assimilate mystic properties of objects or beings. He was able to mimic the properties of Thor's Hammer and the strength of Thor himself, and the power of OdinForce itself.   The Absorbing Man can alter the molecular structure of his body, his clothes, and his wrecking ball to mimic the properties of any material he touches. This process also gives him enhanced strength, endurance, and in most cases, resistance to injury. If the object touched holds some form of energy, such as a battery or a blast furnace, Creel absorbs these properties as well. He also has limited shape-changing abilities when absorbing certain objects, such as forming hammer-like fists when touching a hammer or growing to enormous size when copying items of massive power or strength themselves.   While escaping the Project Pegasus where he was held captive, and intending to loot it, he was designated as an Omega Level Threat.     When he is not absorbing the properties of anything, the Absorbing Man possesses the normal human strength of a man his age, height and build who engages in intensive regular exercise. Depending on what he absorbs and how long he can remain in contact with it, his strength can increase into the Class 100 range, allowing him to lift (press) over 100 tons."
5,Marvel Comics,Agent 13 (MCU),Sharon Carter,"The great-nieceof S.H.I.E.L.D.'s co-founder Peggy Carter, Sharon grew an interest in the agency, and followed Peggy's advice to join despite her mother's protests to the contrary. To ensure she would not be on her famed ancestor's shadow, Shron refused to disclose her surname while at S.H.I.E.L.D.","Expert Marksman: Carter demonstrated an excellent accuracy during her shooting range test for the CIA. Expert Martial Artist: As a former S.H.I.E.L.D. agent, Carter has received training in martial arts fighting. She demonstrated proficiency in performing a series of martial arts kicks in a brief fight with Winter Soldier."
6,Marvel Comics,Agent Bob,Bob,"  Bob, Agent of Hydra, is a sidekick of Deadpool. He is a cowardly young man, Bob was persuaded into joining the criminal organization Hydra by his wife, Allison, who accused him of not being able to hold a steady job. The thought of a stable career with a dental plan also appealed to Bob, though he was disappointed to find out Hydra does not offer full dental like AIM. During Deadpool's assault on Hydra to rescue the captured United States of America, he ran into Bob and coerced him into helping him. Bob was hesitant, as Hydra would not allow him back into the organization having betrayed them, but Deadpool, four inches tall at the time, tortured him with a security card until he relented. He then forced Bob to fly them to safety in one of Hydra jets, though Bob did not know how to pilot an aircraft.  After Deadpool, Agent X, and Bob returned to the United States, they found Outlaw and Sandi missing. Bob accompanied Deadpool on his mission to save the girls and subsequently became an honorary member of Agency X. He continues to work with the group on their various missions, and is referred to as Deadpool's ""Pet"" (or ""Minion"", because that is ""more PC""). Bob was recently shot in the leg, during a raid on the very same HYDRA base Deadpool kidnapped him from, in an attempt to save Weasel from Wolverine. When Wolverine cut off Deadpool's head, Bob was the one who put it back and let Deadpool's healing factor kick in. After Deadpool and Bob rescued Weasel, they were suddenly teleported into the past, where they aided Captain America and Bucky in stopping Arnim Zola. Following that adventure, Bob accompanied Deadpool on a mission through various dimensions to help Doctor Strange save reality after it was damaged by T-Ray's novice magic.  He also traveled with Deadpool and Weasel to the Savage Land, where he ran away from an assortment of dinosaurs. Deadpool attempted to teleport the dinos to Genosha as a prank on Magneto, but instead they were sent to the Genoshan Embassy in downtown Manhattan, as well infected with the alien Symbiotes responsible for Venom and Carnage. During the resultant battle, Bob's attempt to flee accidentally caused the death of one of the creatures while a news crew watched. Thinking his actions were intentional, they interviewed Bob who claimed the 'H' on his uniform stood for ""Hero"". He then received a text message from Allison who had seen the events on the news and thought it was hot. Bob is seen watching television with Deadpool and his supporting cast as the series ends.  Bob is later seen assisting Deadpool defeat Tiger Shark. When Deadpool asks him what he's doing Bob reply's ""U-uh saving you"". Then Deadpool tells Bob to throw him the rifle, Bob throws it to him but it doesn't get to him and the rifle falls into the water where Tiger Shark is waiting because ""Bob throws like a girl."" He is then knocked into the water. However Deadpool saves him at the last second and they were able to outmaneuver Tiger Shark for a while. It was Bob, after a shot to the hand, that explained to Deadpool that he along with Tiger Shark were hired by Norman Osborn, who Deadpool soon realizes stole from him during the height of the Secret Invasion against the Skrulls.  Later, Bob is called upon by Deadpool because he wants Bob and himself to be pirates. Bob gets stuck as Deadpool's parrot and catches scurvy (or possibly heat stroke).  During the World War Hulks story line, Bob uses a time platform to send Hulkpool (a gamma-powered Deadpool) back in time to kill Deadpool. Unfortunately, it sends him to an alternate reality where Thing is Blackbeard. Bob tries to correct the mistakes and ends up transporting dinosaurs to that reality. "," Bob is a normal guy in absolutely every way. He is thirty-three, and possesses average (or below average) strength, agility, durability, and intelligence. Bob continues to wear his Hydra uniform despite his ""liberation"".    Bob ""excels"" in Stealth, thanks to the classes taught at HYDRA. The classes taught at HYDRA were Tactics of Retreat 101, Advanced Tactics of Surrender, and Hiding Places 301. Due to these classes, Bob is able to avoid danger most of the time. "
7,Marvel Comics,Agent Carter,Carter,"Dr.MargaretAlexandra“Peggy” Carter was born into the wealthy Carter family of Richmond, Virginia in June of 1920and was considered “Virginia royalty”. Growing up alongside her brother Harrison, a teenaged Peggy eventually learned of World War II and left for France to join in the fight.","Marksman: She is an expert marksman. Combat Training: She is also highly qualified in close quarters combat and military tactics.[ Communications Training: During her long tenures with S.H.I.E.L.D. and other intelligence agencies, Peggy became a highly trained communications officer, a training that would serve her well in her tenure with the Avengers. Toxicology: Having become a trained medical doctor, Peggy was also a skilled toxicologist, being able to study Mindstorm’s custom poison and crafting an antidote within an hour’s time."
8,Marvel Comics,Agent Coulson (Destroyer Gun),Coulson,S.H.I.E.L.D. recovered the wreckage of the Destroyer from Puente Antiguo and assigned it to a S.H.I.E.L.D. project Phase 2. This project aimed to develop new technologies capable of offering humanity some incredible defense in the face of threats on the level of the Destroyer or the Abomination. S.H.I.E.L.D. researchers then reverse engineered the wrecked sentinel and developed the Destroyer Gun from its remains.,"The Destroyer Armor Prototype Gun, codenamed as ""Bambino"", is a weapon made out of the Destroyer's body and designed by a group of S.H.I.E.L.D. scientists. Weapon was used against Loki and Centipede Soldiers by Phil Coulson, and against Vin-Tak by Leo Fitz."
9,Marvel Comics,Agent Coulson (MCU),Phillip J. Coulson,"The son of Robert and Julie Coulson Phil Coulson was born in Manitowoc, Wisconsin, on July 8, 1964. As an only child, he wished that he had siblings, idealizing what kind of relationship he would have with a younger brother The Coulson family identified as Catholic, but they would only attend Mass on Christmas and Easter. Coulson grew up being a huge fan of Peggy Carter and Captain America, acquiring a vintage Captain America Card Collection over the course of two years. He played baseball in the Little League, batting with over a .400 average. His father introduced him into car tinkering, and together they worked on a red Corvette that Phil has kept to this day. Coulson lost his father at a very young age, and his mother is now deceased as well. After high school while he was in college studying history and learning how S.H.I.E.L.D. shaped the times , he was recruited right away to the Strategic Homeland Intervention, Enforcement and Logistics Division, where he studied at the S.H.I.E.L.D. Academy of Communications , eventually becoming a special agent and was taught by his supervising officer Nick Fury alongside John Garrett.","Coulson's cybernetic hand gives him some degree of enhanced strength. He was able to keep Lash, an Inhuman with great physical strength, from killing Alphonso Mackenzie by gripping his arm, and also kill Grant Ward by crushing his chest. The newest version of the hand made him strong enough to crush a metal pipe, rip the barrel off of an assault rifle, and to momentarily stun the android Aida with a single hit. Coulson’s “civvy hand” is strong enough to match, and even overpower a Kree soldier’s own enhanced strength."
